127.0.0.1 - - [09/Jun/2022:23:28:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:56 +0900] "GET /test/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11111
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/css/common.css HTTP/1.1" 200 1044
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/css/footer.css HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/css/header.css HTTP/1.1" 200 1819
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/css/article.css HTTP/1.1" 200 3942
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/css/floating.css HTTP/1.1" 200 392
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/images/logo.png HTTP/1.1" 200 18008
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/images/mainImage/19.jpg HTTP/1.1" 200 6299
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:57 +0900] "GET /test/images/mainImage/4.jpg HTTP/1.1" 200 7453
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:58 +0900] "GET /test/images/favicon.png HTTP/1.1" 404 838
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:59 +0900] "GET /test/login.html HTTP/1.1" 200 3710
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:28:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:00 +0900] "GET /test/loginAction.jsp?ID=gildong%40gmail.com&PASSWORD=1111 HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:00 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11766
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:00 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:01 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:01 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:03 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:03 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:03 +0900] "GET /test/css/myinfo.css HTTP/1.1" 200 1572
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:03 +0900] "GET /test/css/write.css HTTP/1.1" 200 1198
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:12 +0900] "GET /test/myInfoReviseAction.jsp?EMAIL=gildong%40gmail.com&PASSWORD=1111&PHONE_NUM=010-7540-8313&NICKNAME=%EA%B8%B8%EB%8F%99%EC%9D%B4&ADDRESS=%EA%B2%BD%EA%B8%B0+%EB%B6%80%EC%B2%9C%EC%8B%9C+%EC%86%8C%EC%82%AC%EB%A1%9C669%EB%B2%88%EA%B8%B8+21-6&upLoadFile=KakaoTalk_20220609_210811195.jpg HTTP/1.1" 500 94
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:14 +0900] "GET /test/myInfo.jsp HTTP/1.1" 200 7638
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:29:14 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/ HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/searchmain.jsp HTTP/1.1" 200 11766
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/css/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/css/promotion.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/css/footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/css/floating.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/css/article.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/images/mainImage/5.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/images/mainImage/1.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/images/mainImage/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:23:32:04 +0900] "GET /test/images/logo.png HTTP/1.1" 304 -
